ticker,n_obs_1m,n_obs_daily,mean_log_return_1m,std_log_return_1m,min_log_return_1m,max_log_return_1m,mean_log_return_1m_bps,std_log_return_1m_bps,min_log_return_1m_pct,max_log_return_1m_pct,mean_log_return_daily,std_log_return_daily,mean_log_return_daily_pct,std_log_return_daily_pct,ordinary_kurtosis_1m,excess_kurtosis_1m,log_ordinary_kurtosis_1m
XRP,568800,395,-7.935973101742987e-07,0.0010814741432917854,-0.07214815920729123,0.119894817674977,-0.007935973101742988,10.814741432917854,-7.214815920729123,11.9894817674977,-0.0011427801266509902,0.039144105389242644,-0.11427801266509902,3.9144105389242645,408.7313161924091,405.7313161924091,6.013058011545729
BTC,568800,395,-3.5962413134043645e-07,0.000604444505693656,-0.017867718151237,0.016542019824271392,-0.0035962413134043645,6.04444505693656,-1.7867718151237,1.6542019824271392,-0.0005178587491302285,0.02154742437982382,-0.05178587491302285,2.154742437982382,27.070035417919097,24.070035417919097,3.298427412008032
ETH,568800,395,-1.2182815732343973e-07,0.0009853613958393027,-0.02255082552189691,0.041438512931385674,-0.0012182815732343973,9.853613958393026,-2.255082552189691,4.143851293138567,-0.00017543254654575323,0.03615240414482859,-0.017543254654575322,3.615240414482859,35.26094809481274,32.26094809481274,3.5627760652869807
SOL,568800,395,-9.774325767582789e-07,0.0011426351257049256,-0.030052345066401642,0.050891607296389196,-0.00977432576758279,11.426351257049255,-3.0052345066401642,5.08916072963892,-0.0014075029105319215,0.0395432272155796,-0.14075029105319214,3.9543227215579604,34.96270690962204,31.962706909622042,3.5542819765548153
DOGE,568800,395,-1.3510840678652098e-06,0.002731862495894521,-0.055741983008235074,0.06744128079553313,-0.013510840678652098,27.31862495894521,-5.574198300823507,6.744128079553313,-0.0019455610577259023,0.04352626508175866,-0.19455610577259025,4.352626508175866,7.066769990280122,4.066769990280122,1.9554035141690225
AERGO,568800,395,-8.628729676130433e-07,0.002760750195004849,-0.1436155116911486,0.13849418196665209,-0.008628729676130433,27.607501950048487,-14.361551169114861,13.849418196665209,-0.0012425370733627824,0.0911469706282261,-0.12425370733627823,9.11469706282261,92.393687294501,89.393687294501,4.526058656990185
ADA,568800,395,-1.6308167313762602e-06,0.001516899978208512,-0.05098191341041236,0.0652822920904157,-0.0163081673137626,15.16899978208512,-5.098191341041236,6.5282292090415694,-0.002348376093181815,0.049823127592568565,-0.23483760931818148,4.982312759256857,48.021682839641876,45.021682839641876,3.871652634736368
AUCTION,568800,395,-2.025892738107097e-06,0.0019660285869482555,-0.09997577825967952,0.10241500542806925,-0.02025892738107097,19.660285869482554,-9.997577825967952,10.241500542806925,-0.0029172855428742195,0.06923076614832871,-0.29172855428742195,6.923076614832871,115.8374695020283,112.8374695020283,4.752188083630403
ONDO,568800,395,-2.281847740613284e-06,0.0015527094592494403,-0.06428698044953851,0.06938114561335862,-0.02281847740613284,15.527094592494404,-6.428698044953851,6.938114561335862,-0.003285860746483129,0.04376110333553597,-0.3285860746483129,4.376110333553597,39.18267412922043,36.18267412922043,3.6682346625921145
SUI,568800,395,-2.0329124583135654e-06,0.0014313375511373619,-0.04881472242776219,0.09490414662344726,-0.020329124583135655,14.313375511373618,-4.881472242776219,9.490414662344726,-0.0029273939399715346,0.04852562383934417,-0.29273939399715343,4.8525623839344165,78.41771669224289,75.41771669224289,4.362049880044514
VIRTUAL,568800,395,-8.930405497336982e-07,0.0021076184077911905,-0.06762675105590876,0.12517149616101086,-0.008930405497336983,21.076184077911904,-6.762675105590876,12.517149616101086,-0.0012859783916165254,0.07407470560278137,-0.12859783916165254,7.407470560278137,48.734662072311494,45.734662072311494,3.886390523781579
