cycle_days,rebalance_date,XRP,BTC,ETH,SOL,DOGE,AERGO,ADA,AUCTION,ONDO,SUI,VIRTUAL,ARDR,MOVE,AWE,XLM,AXS,SNT,QTUM,ANIME,PUNDIX,ARK,ENS,LINK,CRO,HBAR,VANA,SEI,STRAX,KNC,ME,SHIB,CBK,AQT,SAFE,GLM,PEPE,BONK,WAVES,MASK,ATH,TOKAMAK,CARV,MEW,MNT,PYTH,SONIC,GAS,AKT,BIGTIME,DRIFT
7,2025-03-01,4.625929269271223e-18,0.25,0.20699180553159044,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.047365977792575724,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.12566932553126617,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.25,4.625929269271223e-18,0.08751893934456005,0.02780428609801077,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18,0.004649665701996893,4.625929269271223e-18,4.625929269271223e-18,4.625929269271223e-18
7,2025-03-08,3.614007241618217e-18,0.25,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,0.012429782247794001,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,0.164955957294325,3.614007241618217e-18,0.012207975453603793,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,0.010905264276868571,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,0.04469755427386724,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,0.03452106111826621,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,0.25,3.614007241618217e-18,0.12935600004483938,3.614007241618217e-18,3.614007241618217e-18,0.0909264052904359,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18,3.614007241618217e-18
7,2025-03-15,2.7755575615627336e-18,0.25,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,0.01720749733918989,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,0.1061909647430071,2.7755575615627336e-18,0.029736007307683596,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,0.07223584640917466,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,0.045527685431455536,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,0.25,2.7755575615627336e-18,0.13241169637469688,0.0010220929845038307,2.7755575615627336e-18,0.09566820941028858,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18,2.7755575615627336e-18
7,2025-03-22,1.0408340855860054e-17,0.25,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,0.005934182902942321,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,0.10486492636827542,1.0408340855860054e-17,0.0321541832673433,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,0.055721105974637246,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,0.05607767847170237,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,0.25,1.0408340855860054e-17,0.14211160174795867,0.011073135916630809,1.0408340855860054e-17,0.09206318535050974,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17,1.0408340855860054e-17
7,2025-03-29,3.4694469519528253e-18,0.25,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,0.00876753620867025,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,0.10424847987280425,3.4694469519528253e-18,0.028793942958540417,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,0.011452466262562513,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,0.006036535845180626,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,0.06136656899871891,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,0.00821269306482006,0.25,3.4694469519528253e-18,0.15362478998526957,0.007841584923309915,3.4694469519528253e-18,0.10965540188012354,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18,3.4694469519528253e-18
7,2025-04-05,4.915049848600822e-18,0.25,0.012885739661347642,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,0.013031433720084657,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,0.08308221385074652,4.915049848600822e-18,0.0296102696620239,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,0.038144781007201665,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,0.016304439675894736,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,0.04623696466876666,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,0.09803892923040837,4.915049848600822e-18,0.15435479979470962,0.00938692059901256,4.915049848600822e-18,0.24892350812980366,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18,4.915049848600822e-18
7,2025-04-12,1.3010426069822109e-18,0.25,1.3010426069822109e-18,1.3010426069822109e-18,1.3010426069822109e-18,0.005052193163086441,1.3010426069822109e-18,0.013873122168140985,1.3010426069822109e-18,1.3010426069822109e-18,1.3010426069822109e-18,0.009081554079979917,1.3010426069822109e-18,0.01330628346762143,1.3010426069822109e-18,1.3010426069822109e-18,0.02055866855344737,1.3010426069822109e-18,1.3010426069822109e-18,0.03808971442256906,0.0004394097434576526,1.3010426069822109e-18,1.3010426069822109e-18,1.3010426069822109e-18,1.3010426069822109e-18,1.3010426069822109e-18,1.3010426069822109e-18,0.06476486894238555,1.3010426069822109e-18,1.3010426069822109e-18,1.3010426069822109e-18,0.06723744994800572,1.3010426069822109e-18,1.3010426069822109e-18,0.012898757928495388,1.3010426069822109e-18,1.3010426069822109e-18,1.3010426069822109e-18,0.08592749175214331,1.3010426069822109e-18,0.11789847663174019,0.012307353664848784,1.3010426069822109e-18,0.25,1.3010426069822109e-18,1.3010426069822109e-18,0.020660837268179758,1.3010426069822109e-18,0.017903818265898507,1.3010426069822109e-18
7,2025-04-19,5.637851296924623e-18,0.25,5.637851296924623e-18,5.637851296924623e-18,5.637851296924623e-18,0.0063132426494879375,5.637851296924623e-18,0.020916196652052275,5.637851296924623e-18,5.637851296924623e-18,5.637851296924623e-18,0.005225361628793501,5.637851296924623e-18,0.022185903653755466,5.637851296924623e-18,5.637851296924623e-18,0.016474319267244825,0.01772144573646895,5.637851296924623e-18,0.06724569586509486,0.0044719141652988705,5.637851296924623e-18,5.637851296924623e-18,0.000568032212190961,5.637851296924623e-18,5.637851296924623e-18,5.637851296924623e-18,0.009448104750411846,5.637851296924623e-18,5.637851296924623e-18,5.637851296924623e-18,0.0611490474450689,0.0020033347695819306,5.637851296924623e-18,0.010073436538246472,5.637851296924623e-18,5.637851296924623e-18,0.048145980737083774,0.07130910878136601,5.637851296924623e-18,0.10545129952867884,0.019466587131992646,5.637851296924623e-18,0.25,5.637851296924623e-18,5.637851296924623e-18,0.011830988487181922,5.637851296924623e-18,5.637851296924623e-18,5.637851296924623e-18
7,2025-04-26,1.7347234759764127e-18,0.25,1.7347234759764127e-18,1.7347234759764127e-18,1.7347234759764127e-18,0.008717634980506601,1.7347234759764127e-18,0.020847201919660028,1.7347234759764127e-18,1.7347234759764127e-18,1.7347234759764127e-18,0.012553847468587565,1.7347234759764127e-18,0.00627816587364054,1.7347234759764127e-18,1.7347234759764127e-18,0.014508724138829691,0.007250474761800935,1.7347234759764127e-18,0.07370264681839465,0.007020843149344644,1.7347234759764127e-18,1.7347234759764127e-18,0.00265400496617936,1.7347234759764127e-18,1.7347234759764127e-18,1.7347234759764127e-18,0.025277763221733203,1.7347234759764127e-18,1.7347234759764127e-18,1.7347234759764127e-18,0.05386230363497402,0.006493991425730707,1.7347234759764127e-18,1.7347234759764127e-18,1.7347234759764127e-18,1.7347234759764127e-18,0.05783071179736538,0.06796760640939586,1.7347234759764127e-18,0.11447382784216115,0.016230333271270603,1.7347234759764127e-18,0.25,1.7347234759764127e-18,1.7347234759764127e-18,0.0043299183204251485,1.7347234759764127e-18,1.7347234759764127e-18,1.7347234759764127e-18
7,2025-05-03,7.806255641895632e-18,0.25,0.018327057349943672,7.806255641895632e-18,7.806255641895632e-18,0.005457047396225583,7.806255641895632e-18,0.019348073303618294,7.806255641895632e-18,7.806255641895632e-18,7.806255641895632e-18,0.010306120750864154,7.806255641895632e-18,0.025180024973289482,7.806255641895632e-18,7.806255641895632e-18,0.02544159217399396,7.806255641895632e-18,7.806255641895632e-18,0.01174138908378183,0.005745059326613432,7.806255641895632e-18,7.806255641895632e-18,0.028201043008494027,7.806255641895632e-18,7.806255641895632e-18,7.806255641895632e-18,0.02596479038896006,7.806255641895632e-18,7.806255641895632e-18,7.806255641895632e-18,0.08509691601120209,0.0075726983926331605,7.806255641895632e-18,7.806255641895632e-18,7.806255641895632e-18,7.806255641895632e-18,0.06077110864805064,0.04119810183480024,7.806255641895632e-18,0.09189882647624578,0.01973253236434084,7.806255641895632e-18,0.25,7.806255641895632e-18,7.806255641895632e-18,0.01801761851694274,7.806255641895632e-18,7.806255641895632e-18,7.806255641895632e-18
