cycle_days,date,rebalance_date,ticker,weight
7,2025-03-01,2025-03-01,XRP,4.625929269271223e-18
7,2025-03-01,2025-03-01,BTC,0.25
7,2025-03-01,2025-03-01,ETH,0.20699180553159044
7,2025-03-01,2025-03-01,SOL,4.625929269271223e-18
7,2025-03-01,2025-03-01,DOGE,4.625929269271223e-18
7,2025-03-01,2025-03-01,AERGO,4.625929269271223e-18
7,2025-03-01,2025-03-01,ADA,4.625929269271223e-18
7,2025-03-01,2025-03-01,AUCTION,4.625929269271223e-18
7,2025-03-01,2025-03-01,ONDO,4.625929269271223e-18
7,2025-03-01,2025-03-01,SUI,4.625929269271223e-18
7,2025-03-01,2025-03-01,VIRTUAL,4.625929269271223e-18
7,2025-03-01,2025-03-01,ARDR,4.625929269271223e-18
7,2025-03-01,2025-03-01,MOVE,4.625929269271223e-18
7,2025-03-01,2025-03-01,AWE,0.047365977792575724
7,2025-03-01,2025-03-01,XLM,4.625929269271223e-18
7,2025-03-01,2025-03-01,AXS,4.625929269271223e-18
7,2025-03-01,2025-03-01,SNT,4.625929269271223e-18
7,2025-03-01,2025-03-01,QTUM,4.625929269271223e-18
7,2025-03-01,2025-03-01,ANIME,4.625929269271223e-18
7,2025-03-01,2025-03-01,PUNDIX,0.12566932553126617
7,2025-03-01,2025-03-01,ARK,4.625929269271223e-18
7,2025-03-01,2025-03-01,ENS,4.625929269271223e-18
7,2025-03-01,2025-03-01,LINK,4.625929269271223e-18
7,2025-03-01,2025-03-01,CRO,4.625929269271223e-18
7,2025-03-01,2025-03-01,HBAR,4.625929269271223e-18
7,2025-03-01,2025-03-01,VANA,4.625929269271223e-18
7,2025-03-01,2025-03-01,SEI,4.625929269271223e-18
7,2025-03-01,2025-03-01,STRAX,4.625929269271223e-18
7,2025-03-01,2025-03-01,KNC,4.625929269271223e-18
7,2025-03-01,2025-03-01,ME,4.625929269271223e-18
7,2025-03-01,2025-03-01,SHIB,4.625929269271223e-18
7,2025-03-01,2025-03-01,CBK,4.625929269271223e-18
7,2025-03-01,2025-03-01,AQT,4.625929269271223e-18
7,2025-03-01,2025-03-01,SAFE,4.625929269271223e-18
7,2025-03-01,2025-03-01,GLM,4.625929269271223e-18
7,2025-03-01,2025-03-01,PEPE,4.625929269271223e-18
7,2025-03-01,2025-03-01,BONK,4.625929269271223e-18
7,2025-03-01,2025-03-01,WAVES,4.625929269271223e-18
7,2025-03-01,2025-03-01,MASK,0.25
7,2025-03-01,2025-03-01,ATH,4.625929269271223e-18
7,2025-03-01,2025-03-01,TOKAMAK,0.08751893934456005
7,2025-03-01,2025-03-01,CARV,0.02780428609801077
7,2025-03-01,2025-03-01,MEW,4.625929269271223e-18
7,2025-03-01,2025-03-01,MNT,4.625929269271223e-18
7,2025-03-01,2025-03-01,PYTH,4.625929269271223e-18
7,2025-03-01,2025-03-01,SONIC,4.625929269271223e-18
7,2025-03-01,2025-03-01,GAS,0.004649665701996893
7,2025-03-01,2025-03-01,AKT,4.625929269271223e-18
7,2025-03-01,2025-03-01,BIGTIME,4.625929269271223e-18
7,2025-03-01,2025-03-01,DRIFT,4.625929269271223e-18
7,2025-03-02,2025-03-01,XRP,4.625929269271223e-18
7,2025-03-02,2025-03-01,BTC,0.25
