month,cycle_days,hold_start,hold_end,hold_days,minimum_variance_return,equal_weight_return,btc_same_window_return,mv_minus_ew,mv_minus_btc_same_window
2025-03,7,2025-03-01,2025-03-07,7,-0.03631224232779484,-0.07187631988901533,0.0395629995581781,0.035564077561220486,-0.07587524188597294
2025-03,14,2025-03-01,2025-03-14,14,-0.09579283368530966,-0.12575965717353832,-0.0038960517331432243,0.029966823488228655,-0.09189678195216644
2025-04,7,2025-04-01,2025-04-07,7,-0.11784441254232625,-0.11079807385188467,-0.041634872960463754,-0.007046338690441578,-0.0762095395818625
2025-04,14,2025-04-01,2025-04-14,14,-0.07479800960384753,0.04827218171232284,-0.0023703222664110957,-0.12307019131617036,-0.07242768733743643
2025-05,7,2025-05-01,2025-05-07,7,-0.04259563279233969,-0.06405686047029169,0.012446090208435345,0.021461227677952,-0.055041723000775034
2025-05,14,2025-05-01,2025-05-14,14,0.06549404021630956,0.11799730240679795,0.07111316831610415,-0.0525032621904884,-0.00561912809979459
2025-06,7,2025-06-01,2025-06-07,7,-0.021101411505584866,-0.027521804395183702,-0.009235033634184098,0.006420392889598836,-0.011866377871400768
2025-06,14,2025-06-01,2025-06-14,14,-0.03573254619508415,-0.08411247805498268,-0.010222087009432057,0.04837993185989853,-0.02551045918565209
2025-07,7,2025-07-01,2025-07-07,7,0.07577792489497415,0.03564522499730449,0.01701665957066867,0.040132699897669655,0.05876126532430548
2025-07,14,2025-07-01,2025-07-14,14,0.27084189235583245,0.23118809997894263,0.12517339413000994,0.03965379237688982,0.1456684982258225
2025-08,7,2025-08-01,2025-08-07,7,0.08573517079261972,0.029292728049530092,0.004748220193279584,0.05644244274308963,0.08098695059934014
2025-08,14,2025-08-01,2025-08-14,14,0.13473835455237282,0.03555757656387026,0.02157491946646628,0.09918077798850256,0.11316343508590654
2025-09,7,2025-09-01,2025-09-07,7,0.0032118402874405927,-0.0014617668067185008,0.02794374117225673,0.0046736070941590935,-0.024731900884816138
2025-09,14,2025-09-01,2025-09-14,14,0.07815924220812653,0.0981194465080295,0.06271095402610882,-0.019960204299902973,0.015448288182017711
2025-10,7,2025-10-01,2025-10-07,7,0.03846002976975149,0.04116754609284823,0.07862284128036956,-0.002707516323096737,-0.04016281151061807
2025-10,14,2025-10-01,2025-10-14,14,-0.018152524166729855,-0.08331065233699264,0.04459920898125436,0.06515812817026279,-0.06275173314798421
2025-11,7,2025-11-01,2025-11-07,7,-0.044456946879380954,-0.025131871760474933,-0.06304996044544187,-0.01932507511890602,0.018593013566060912
2025-11,14,2025-11-01,2025-11-14,14,-0.09947052516247601,-0.12376580624279654,-0.12429258199963034,0.02429528108032053,0.024822056837154327
2025-12,7,2025-12-01,2025-12-07,7,-0.044075363854146454,-0.058262051206894094,-0.005235640648010964,0.01418668735274764,-0.03883972320613549
2025-12,14,2025-12-01,2025-12-14,14,-0.07360783399619442,-0.09720537920742589,-0.02930780559646895,0.023597545211231474,-0.044300028399725466
2026-01,7,2026-01-01,2026-01-07,7,0.09852209656940025,0.15887043454235927,0.03850660001561801,-0.06034833797295902,0.060015496553782244
2026-01,14,2026-01-01,2026-01-14,14,0.11721606383581995,0.1895047604052893,0.10934937124111377,-0.07228869656946935,0.007866692594706182
2026-02,7,2026-02-01,2026-02-07,7,-0.057945847448654386,-0.10378962295916339,-0.12859754283042202,0.045843775510509,0.07065169538176763
2026-02,14,2026-02-01,2026-02-14,14,-0.000907357998928271,-0.02860350836017367,-0.1256217319219477,0.027696150361245397,0.12471437392301943
2026-03,7,2026-03-01,2026-03-07,7,0.009585157418491974,-0.030137289582128468,0.017214557661602514,0.03972244700062044,-0.00762940024311054
2026-03,14,2026-03-01,2026-03-14,14,0.059997054823407225,0.010752687391686777,0.07647275555737099,0.04924436743172045,-0.01647570073396376
