month,cycle_days,hold_start,hold_end,hold_days,minimum_variance_return,equal_weight_return,btc_same_window_return,mv_minus_ew,mv_minus_btc_same_window
2025-03,7,2025-03-01,2025-03-07,7,-0.03631224232779451,-0.07187631988901522,0.0395629995581781,0.03556407756122071,-0.07587524188597261
2025-04,7,2025-04-01,2025-04-07,7,-0.11784441254232536,-0.11079807385188456,-0.041634872960463754,-0.007046338690440801,-0.07620953958186161
2025-05,7,2025-05-01,2025-05-07,7,-0.04259563279233969,-0.06405686047029147,0.01244609020843579,0.021461227677951777,-0.05504172300077548
2025-06,7,2025-06-01,2025-06-07,7,-0.021105002454007482,-0.02752180439518348,-0.009235033634183876,0.006416801941175998,-0.011869968819823606
2025-07,7,2025-07-01,2025-07-07,7,0.07577792489497326,0.035645224997304936,0.01701665957066867,0.04013269989766832,0.05876126532430459
2025-08,7,2025-08-01,2025-08-07,7,0.08573517079261772,0.029292728049530092,0.004748220193279584,0.05644244274308763,0.08098695059933814
2025-09,7,2025-09-01,2025-09-07,7,0.003211840287442591,-0.0014617668067183898,0.02794374117225673,0.004673607094160981,-0.02473190088481414
2025-10,7,2025-10-01,2025-10-07,7,0.038562406341516864,0.04116754609284823,0.07862284128036978,-0.0026051397513313646,-0.04006043493885292
2025-11,7,2025-11-01,2025-11-07,7,-0.04445694687938162,-0.025131871760474378,-0.06304996044544176,-0.019325075118907242,0.018593013566060135
2025-12,7,2025-12-01,2025-12-07,7,-0.04407536385414601,-0.05826205120689398,-0.005235640648010853,0.014186687352747973,-0.03883972320613516
2026-01,7,2026-01-01,2026-01-07,7,0.09852209656940003,0.1588704345423595,0.03850660001561801,-0.060348337972959465,0.06001549655378202
2026-02,7,2026-02-01,2026-02-07,7,-0.05794584744865616,-0.10378962295916327,-0.1285975428304219,0.04584377551050711,0.07065169538176574
2026-03,7,2026-03-01,2026-03-07,7,0.009585157418491752,-0.030137289582128135,0.01721455766160296,0.03972244700061989,-0.007629400243111206
2025-03,14,2025-03-01,2025-03-14,14,-0.09579283368530933,-0.12575965717353776,-0.0038960517331431133,0.029966823488228433,-0.09189678195216622
2025-04,14,2025-04-01,2025-04-14,14,-0.07479800960384597,0.04827218171232306,-0.0023703222664108736,-0.12307019131616903,-0.0724276873374351
2025-05,14,2025-05-01,2025-05-14,14,0.06549404021630978,0.11799730240679795,0.07111316831610459,-0.052503262190488176,-0.005619128099794812
2025-06,14,2025-06-01,2025-06-14,14,-0.0357508135338539,-0.08411247805498245,-0.010222087009431613,0.048361664521128556,-0.025528726524422285
2025-07,14,2025-07-01,2025-07-14,14,0.270841892355832,0.23118809997894285,0.12517339413000994,0.03965379237688915,0.14566849822582206
2025-08,14,2025-08-01,2025-08-14,14,0.13473835455237793,0.03555757656387026,0.02157491946646628,0.09918077798850766,0.11316343508591165
2025-09,14,2025-09-01,2025-09-14,14,0.07815924220812298,0.09811944650802973,0.06271095402610882,-0.019960204299906747,0.015448288182014158
2025-10,14,2025-10-01,2025-10-14,14,-0.018169739754753778,-0.08331065233699253,0.04459920898125458,0.06514091258223875,-0.06276894873600836
2025-11,14,2025-11-01,2025-11-14,14,-0.09947052516247679,-0.12376580624279587,-0.12429258199963,0.024295281080319087,0.024822056837153217
2025-12,14,2025-12-01,2025-12-14,14,-0.07360783399619719,-0.09720537920742567,-0.029307805596468617,0.023597545211228477,-0.044300028399728575
2026-01,14,2026-01-01,2026-01-14,14,0.1172160638358184,0.18950476040528996,0.10934937124111377,-0.07228869656947157,0.007866692594704627
2026-02,14,2026-02-01,2026-02-14,14,-0.0009073579989298253,-0.028603508360173446,-0.1256217319219476,0.02769615036124362,0.12471437392301776
2026-03,14,2026-03-01,2026-03-14,14,0.05999705482341011,0.010752687391687,0.07647275555737165,0.04924436743172311,-0.01647570073396154
